Product Name,Price,Rating,Reviews,Supported Apps,Operating System,Resolution,Sound System
"realme TechLife CineSonic 80 cm (32 Inch) QLED HD Ready Smart Google TV 2025 Edition Dolby Audio, HDR1...","9,899",4.2,"2,009 Ratings&211 Reviews",Operating System: Google TV,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 year Warranty for Manufacturing Defects (Applicable only in INDIA)
"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor Gen5, AI Sound Pr...","32,990",4.4,"4,335 Ratings&327 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
InnoQ Spectra 108 cm (43 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"12,990",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
Mi by Xiaomi A Series 80 cm (32 inch) HD Ready LED Smart Google TV with 200+ Free Channels |Dolby Audi...,"13,490",4.3,"1,83,879 Ratings&13,990 Reviews",Operating System: Google TV,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Warranty on Product and 1 Year Additional Warranty on Panel
acerpure Aspire TV by Acer (2024 Series) 108 cm (43 inch) Full HD LED Smart Google TV with Google OS |...,"16,999",4.2,"3,390 Ratings&437 Reviews",Operating System: Google TV,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Comprehensive Warranty On Product
"LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Mode, AI Sound & Active HDR","36,900",4.4,"18,266 Ratings&2,011 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
XIAOMI X Pro CineMagiQLED 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"64,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
iFFALCON by TCL S44 79.97 cm (32 inch) HD Ready LED Smart Android TV with Metallic Bezel Less and Chro...,"7,999",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Warranty
"iFFALCON by TCL U64 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 24W Audio, HDR10","18,499",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty on Product
iFFALCON by TCL 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos Vision & HDR10,"21,999",4.2,"3,769 Ratings&432 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Warranty
LG UR75 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,"38,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,1 Year Warranty from the date of purchase (T&C Apply)
XIAOMI X Pro CineMagiQLED 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"31,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
"iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 24W Dolby Audio, HDR10 and...","19,999",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Warranty
"iFFALCON by TCL U64 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with 24W Dolby Audio, HDR10","38,999",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty on Product
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 100+ Fr...,"15,990",4.3,"27,667 Ratings&1,736 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 Year Comprehensive Warranty
InnoQ Sounbar 60 cm (24 inch) HD Ready LED Smart Android TV with 30W Front Boom Speakers | 1000+ Smart...,"5,799",4,"5,393 Ratings&616 Reviews",Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
InnoQ Spectra 80 cm (32 inch) HD Ready LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"7,490",4,"5,393 Ratings&616 Reviews",Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
Thomson Alpha QLED 60 cm (24 inch) QLED HD Ready Smart Linux TV 2025 Edition 24W Sound Output | Web Br...,"6,799",4,172 Ratings&33 Reviews,Operating System: Linux,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 Year Warranty on Product & 6 Months on Accessories
"iFFALCON by TCL U64 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 24W Audio, HDR10","18,499",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty on Product
KODAK Special Edition 80 cm (32 inch) HD Ready LED Smart Linux TV with 30W Sound Output & Bezel-Less D...,"8,074",4.2,"9,246 Ratings&1,041 Reviews",Operating System: Linux,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Warranty on Product and 6 Months Warranty on Accessories
"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor 4K Gen6, AI Pictu...","30,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor Gen5, AI Sound Pr...","32,990",4.4,"4,335 Ratings&327 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,"8,499",4.2,"54,413 Ratings&5,556 Reviews",Operating System: Linux,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Warranty on Product
realme TechLife CineSonic 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"20,499",4.3,"3,425 Ratings&303 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
LG LR57 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 10...,"14,490",4.4,"68,382 Ratings&5,613 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1-Year Warranty from the date of purchase
InnoQ Spectra 108 cm (43 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"12,990",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
TCL S5500 79.97 cm (32 inch) Full HD LED Smart Google TV with 1.5 GB RAM + 16 GB ROM,"13,989",4.1,"37,239 Ratings&3,047 Reviews",Operating System: Google TV,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Warranty
Thomson 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with HDR 10 | Dolby Atmos | 40W Sound Outp...,"25,999",4.4,"28,706 Ratings&5,080 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Warranty on Product and 6 Months Warranty on Accessories
Acer I PRO Series 108 cm (43 inch) Full HD LED Smart Google TV with Android 14 (Black) | 16GB Storage ...,"19,999",4,"6,928 Ratings&732 Reviews",Operating System: Google TV,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Warranty
XIAOMI X Pro CineMagiQLED 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"64,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
InnoQ Spectra 102 cm (40 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"11,490",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
Acer I PRO Series 138.7 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Android 14 (Black) | MEMC ...,"32,999",4,"6,928 Ratings&732 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
"Acer Advanced I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision-Atmos, 36W...","22,999",4.2,"5,409 Ratings&568 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Comprehensive Warranty from the Date of Purchase
Mi by Xiaomi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 4K Dolby Vision | HDR 10...,"32,990",4.3,"1,26,886 Ratings&11,498 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)
Acer I PRO Series 100.3 cm (40 inch) Full HD LED Smart Google TV with Android 14 (Black) | 16GB Storag...,"16,999",4,"6,928 Ratings&732 Reviews",Operating System: Google TV,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Warranty
LG UR75 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,"38,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,1 Year Warranty from the date of purchase (T&C Apply)
XIAOMI X Pro CineMagiQLED 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"31,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
KODAK 9XPRO 100 cm (40 inch) Full HD LED Smart Android TV with Android 11 and Dolby Digital Plus,"14,999",4.4,"40,161 Ratings&7,721 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Warranty on Product and 6 Months Warranty on Accessories
TCL C69B 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV with 30W Dolby Atmos,"26,990",4.2,"9,459 Ratings&1,031 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,2 Years Comprehensive Warranty on Product
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 100+ Fr...,"15,990",4.3,"27,667 Ratings&1,736 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 Year Comprehensive Warranty
InnoQ Sounbar 60 cm (24 inch) HD Ready LED Smart Android TV with 30W Front Boom Speakers | 1000+ Smart...,"5,799",4,"5,393 Ratings&616 Reviews",Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
SAMSUNG New D Series Brighter Crystal 4K Vivid (2024 Edition) 138 cm (55 inch) Ultra HD (4K) LED Smart...,"50,990",4.3,"16,950 Ratings&1,200 Reviews",Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)
TCL S5500AF 79.97 cm (32 inch) Full HD LED Smart Android TV with Metallic Bezel Less and Chromecast bu...,"14,800",4.1,"37,239 Ratings&3,047 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,1 Year Warranty
realme TechLife CineSonic Q 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV,"40,999",4.3,"4,495 Ratings&474 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
LG LR57 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 10...,"14,490",4.4,"68,382 Ratings&5,613 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1-Year Warranty from the date of purchase
"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor Gen5, AI Sound Pr...","32,990",4.4,"4,335 Ratings&327 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
Blaupunkt CyberSound G2 Series 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Digital Plus &...,"14,999",4.4,"16,270 Ratings&3,467 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2023,1 Year Warranty on Product and 6 Months Warranty on Accessories
InnoQ Spectra 108 cm (43 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"12,990",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
XIAOMI X Pro CineMagiQLED 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"64,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV with 60W Sound Output HDR 10 | Dolby Atm...,"26,499",4.5,"10,083 Ratings&2,532 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Warranty on Product and 6 Months on Accessories
Thomson Phoenix 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV with HDR 10 | Dolby Atmos | 40W So...,"20,499",4.4,"28,706 Ratings&5,080 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Warranty on Product and 6 Months Warranty on Accessories
Mi by Xiaomi A series 80 cm (32 inch) HD Ready LED Smart Google TV with HD |Dolby Audio | DTS:HD | Viv...,"24,999",4.3,"1,83,879 Ratings&13,990 Reviews",Operating System: Google TV,HD Ready 1366 x 768 Pixels,Launch Year: 2023,1 Year Warranty on Product and 2 Years Warranty on Panel
KODAK 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Dolby Digital Plus,"16,499",4.4,"40,161 Ratings&7,721 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2023,1 Year Warranty on Product and 6 Months Warranty on Accessories
LG UR75 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,"38,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,1 Year Warranty from the date of purchase (T&C Apply)
XIAOMI X Pro CineMagiQLED 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"31,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
TOSHIBA 108 cm (43 inch) QLED Ultra HD (4K) Smart VIDAA TV with Vision and Engine ZR( 2024 Edition),"26,999",4.3,"6,124 Ratings&992 Reviews",Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,2 Years Comprehensive Warranty
realme TechLife CineSonic Q 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV,"29,999",4.3,"4,495 Ratings&474 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 100+ Fr...,"15,990",4.3,"27,667 Ratings&1,736 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 Year Comprehensive Warranty
InnoQ Sounbar 60 cm (24 inch) HD Ready LED Smart Android TV with 30W Front Boom Speakers | 1000+ Smart...,"5,799",4,"5,393 Ratings&616 Reviews",Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
"iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with 24W Audio, HDR10 and Bezel...","19,000",4.2,"77,110 Ratings&8,362 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Warranty
Foxsky 60 cm (24 inch) HD Ready LED Smart Android TV 2025 Edition,"5,999",4,22 Ratings&1 Reviews,Operating System: Android,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1 Year Standard Manufacturer Warranty from Foxsky
TOSHIBA C350MP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision and Engine,"23,999",4.3,"6,111 Ratings&1,105 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,2 Years Warranty
Acer V PRO Series 80.01 cm (32 inch) QLED HD Ready Smart Google TV Android 14 (Black) | 16GB Storage |...,"13,999",4,"5,962 Ratings&610 Reviews",Operating System: Google TV,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Warranty
"LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor 4K Gen6, AI Pictu...","30,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
"LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Alpha5 AI Processor Gen5, AI Sound Pr...","32,990",4.4,"4,335 Ratings&327 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2023,1 Year Standard Warranty on the Product from the Date of Purchase. (T&C Apply)
"TOSHIBA 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Full Array Local Dimming, 49W Power B...","40,999",3.9,33 Ratings&2 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Years Comprehensive Warranty
Foxsky 109 cm (43 inch) Full HD LED Smart Android TV,"13,499",4.1,"6,442 Ratings&1,497 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2023,1 Year Standard Manufacturer Warranty from Foxsky
LG LR57 80 cm (32 inch) HD Ready LED Smart WebOS TV 2025 Edition with | Alpha5 Gen 6 AI Processor | 10...,"14,490",4.4,"68,382 Ratings&5,613 Reviews",Operating System: WebOS,HD Ready 1366 x 768 Pixels,Launch Year: 2025,1-Year Warranty from the date of purchase
InnoQ Spectra 108 cm (43 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"12,990",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
TOSHIBA 139 cm (55 inch) QLED Ultra HD (4K) Smart VIDAA TV with and Engine ZR( 2024 Edition),"37,999",4.3,"6,124 Ratings&992 Reviews",Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Comprehensive Warranty
Blaupunkt 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with 60W Sound Output HDR 10 | Dolby Atm...,"42,999",4.5,"10,083 Ratings&2,532 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2022,1 Year Warranty on Product and 6 Months on Accessories
Acer Super Series 1.387 M (55 inch) QLED Ultra HD (4K) Smart Google TV Android 14 (Black) | MEMC | ALL...,"39,999",4.1,"1,480 Ratings&161 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
MarQ by Flipkart 109 cm (43 inch) Full HD LED Smart Coolita TV,"15,399",4.2,"7,390 Ratings&698 Reviews",Operating System: Coolita,Full HD 1366 x 768 Pixels,Launch Year: 2023,1 Year Warranty on the Product
XIAOMI X Pro CineMagiQLED 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,"64,999",3.3,31 Ratings&1 Reviews,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,2 year comprehensive warranty
InnoQ Spectra 102 cm (40 inch) Full HD LED Smart Android TV with 30W Boom Speakers | 1000+ Smart Apps ...,"11,490",4,"5,393 Ratings&616 Reviews",Operating System: Android,Full HD 1920 x 1080 Pixels,Launch Year: 2024,2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on purchasefrom 7th Feb'25 to 12th Feb'25 and 22nd Feb'25 to 28th Feb'25)
realme TechLife CineSonic 140 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"28,999",4.3,"3,425 Ratings&303 Reviews",Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2024,1 Year Warranty
REDMI by Mi Xiaomi 80 cm (32 inch) HD Ready LED Smart FireTv OS 7 TV with Dolby Audio & DTS: Virtual X,"11,499",4.2,"13,080 Ratings&807 Reviews",Operating System: FireTv OS 7,HD Ready 1366 x 768 Pixels,Launch Year: 2024,1 Year Comprehensive Warranty on Product and 1 Year Additional Warranty on Panel
LG UR75 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha5 AI Processor 4K Gen...,"38,990",4.4,"20,210 Ratings&1,530 Reviews",Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,Launch Year: 2025,1 Year Warranty from the date of purchase (T&C Apply)
